Phrase,Frequency
ذلك لآيات,24
الذين من قبلهم,24
أنزل الله,24
ما كان,24
قل إن,24
في قلوبهم,24
الله والله,23
كان من,23
صراط مستقيم,23
بعد ذلك,23
بآيات الله,23
إلى يوم,23
الذين ظلموا,23
الله هو,23
ولهم عذاب,23
لا يحب,23
السماوات والأرض وما,23
عن سبيل الله,23
ما كنتم,23
وعد الله,23
عن سبيل,23
كان عاقبة,22
ابن مريم,22
الله لكم,22
الله غفور رحيم,22
إن الله كان,22
إلا قليلا,22
واليوم الآخر,22
الله وما,21
أيها الناس,21
كيف كان عاقبة,21
الذي خلق,21
وقال الذين,21
على الذين,21
من قبل أن,21
وما بينهما,21
كيف كان,21
الله عليكم,21
الحمد لله,21
لا تعلمون,21
فأولئك هم,21
كل نفس,21
من السماء ماء,20
السماء ماء,20
أكثرهم لا,20
الله الذين,20
من في,20
يا أيها الناس,20
أولئك هم,20
الأنهار خالدين فيها,20
إن في ذلك لآية,20
في ذلك لآية,20
ذلك لآية,20
قيل لهم,20
من عند,20
تحتها الأنهار خالدين فيها,20
تحتها الأنهار خالدين,20
الأنهار خالدين,20
في ضلال,20
ما لم,20
أكثر الناس,20
ما أنزل,20
يا بني,20
أصحاب النار,20
ثم لا,20
ذلك بأنهم,20
ما لكم,20
في الحياة,20
إلا الذين,20
هذا إلا,20
من كان,19
بالله واليوم الآخر,19
بالله واليوم,19
ملك السماوات والأرض,19
عند ربهم,19
والذين كفروا,19
من المؤمنين,19
قال يا قوم,19
والأرض وما بينهما,19
آيات الله,19
يهدي القوم,19
الله أن,19
إنه هو,19
أعلم بما,19
فيها خالدون,19
لمن يشاء,19
من بعده,19
القوم الظالمين,19
لا يهدي القوم,19
خير لكم,19
لهم عذاب,19
ملك السماوات,19
من تحتها الأنهار خالدين,19
والله لا,19
من تحتها الأنهار خالدين فيها,19
تجري من تحتها الأنهار خالدين,19
إلا الله,19
في الحياة الدنيا,19
تجري من تحتها الأنهار خالدين فيها,19
ما كانوا يعملون,18
الكتاب من,18
على أن,18
ضلال مبين,18
الذين كذبوا,18
إن الذين كفروا,18
إنا كنا,18
كذبوا بآياتنا,18
الله على كل,18
الله في,18
في السماء,18
ولكن أكثر الناس,17
ولكن أكثر,17
ومنهم من,17
إن كان,17
أكثر الناس لا,17
الليل والنهار,17
الناس لا,17
جعل لكم,17
الحق من,17
رسول الله,17
الله ما لا,17
من بعدهم,17
السماوات والأرض وما بينهما,17
إنهم كانوا,17
فضل الله,17
فيها من,17
من إله,17
ولكن أكثر الناس لا,17
للذين آمنوا,17
يشاء والله,17
الله على كل شيء,17
على بعض,17
من قبلكم,17
من المشركين,17
إلا على,17
قل إنما,16
من ربهم,16
والله بما,16
والذين هم,16
مع الله,16
إني أخاف,16
ولو شاء,16
وأولئك هم,16
وإذ قال,16
الدنيا والآخرة,16
وإذا قيل,16
كفروا من,16
الله ثم,16
هم فيها خالدون,16
إن كنتم مؤمنين,16
وما كانوا,16
الله إلا,16
شيء عليم,16
من عذاب,16
قل يا,16
هم فيها,16
كنتم مؤمنين,16
إلى صراط,16
إن الذين آمنوا,16
لكم إن,16
كنت من,16
بما كنتم تعملون,16
أوتوا الكتاب,16
والله يعلم,16
اعبدوا الله,16
بكل شيء عليم,16
فاتقوا الله,16
أولئك أصحاب,15
تر إلى,15
ألم تر إلى,15
كانوا به,15
ولقد أرسلنا,15
أولئك لهم,15
غفورا رحيما,15
بإذن الله,15
ولقد آتينا,15
إن كنت,15
من عند الله,15
والله غفور,15
بين يديه,15
عليم حكيم,15
أكثرهم لا يعلمون,15
أظلم ممن,15
والله بما تعملون,15
أمر الله,15
إن هذا إلا,15
عليه من,15
وهو العزيز,15
ما يشاء,15
جنات تجري من تحتها الأنهار خالدين فيها,15
سميع عليم,15
فهم لا,15
لآيات لقوم,15
جنات تجري من تحتها الأنهار خالدين,15
إلى أجل,15
قالوا إنا,15
لا يشعرون,15
الله ومن,15
وما أنزل,15
الله حق,15
عليهم ولا,15
الذي جعل,15
السميع العليم,15
في كتاب,14
إلا في,14
قل لا,14
من عباده,14
عذاب يوم,14
إن الله غفور,14
عذاب عظيم,14
شيئا ولا,14
الأرض ولا,14
من يشاء والله,14
الله بما,14
من حيث,14
من قبله,14
الذين لا يؤمنون,14
من أهل,14
ما لكم من,14
لا ريب,14
لله ما,14
من ربه,14
السماء والأرض,14
في النار,14
هذا القرآن,14
على الله كذبا,14
الله كذبا,14
الذين أوتوا الكتاب,14
ذلك لآيات لقوم,14
بما أنزل,14
قال الذين,14
في ذلك لآيات لقوم,14
إن في ذلك لآيات لقوم,14
إلى الذين,14
عذابا أليما,13
من الناس,13
وإن ربك,13
عزيز حكيم,13
للذين كفروا,13
أصحاب الجنة,13
كنتم تعلمون,13
في جنات,13
أدراك ما,13
الذين كفروا من,13
رب السماوات,13
به يستهزئون,13
هم يحزنون,13
ولا هم يحزنون,13
قل الله,13
أنزل من,13
وما نحن,13
الله شيئا,13
إنه لا,13
يا أهل,13
أفلا تعقلون,13
عنهم ما,13
ما أنزل الله,13
العزيز الرحيم,13
والله عليم حكيم,13
إن ربي,13
من الأرض,13
والله غفور رحيم,13
في ضلال مبين,13
في الدنيا والآخرة,13
وإذا قيل لهم,13
الناس من,13
أجل مسمى,13
في الكتاب,13
لقوم يؤمنون,13
يؤمن بالله,13
على قلوبهم,13
كانوا به يستهزئون,13
إنك أنت,13
المسجد الحرام,13
شديد العقاب,13
له ما,13
أيها النبي,13
يا أيها النبي,13
الله يعلم,12
هم المفلحون,12
من الكتاب,12
عيسى ابن مريم,12
قالوا إن,12
تر إلى الذين,12
ألم تر إلى الذين,12
ولهم عذاب أليم,12
وهو العزيز الحكيم,12
الله به,12
إلى يوم القيامة,12
عالم الغيب,12
افترى على,12
خوف عليهم ولا,12
واعلموا أن,12
الله عليهم,12
نفس ما,12
والله على,12
عيسى ابن,12
قل من,12
أنزل إليك,12
ذلك على,12
خوف عليهم ولا هم,12
عليهم ولا هم يحزنون,12
يشاء من,12
وقال الذين كفروا,12
على من,12
لكم إن كنتم,12
ألا إن,12
عليهم ولا هم,12
أولم يروا,12
قوم لا,12
خوف عليهم ولا هم يحزنون,12
رحمة من,12
آتينا موسى,12
ولكن أكثرهم,12
بغير علم,12
يومئذ للمكذبين,12
خوف عليهم,12
من بعد ذلك,12
تعملون بصير,12
بما تعملون بصير,12
الذين قالوا,12
آل فرعون,12
وكفى بالله,12
فإن لم,12
إلى فرعون,12
عنهم ما كانوا,12
عما يشركون,12
بذات الصدور,12
إلى صراط مستقيم,12
بل هم,12
من أهل الكتاب,12
ولكن الله,12
عليم بذات الصدور,12
إليك من,12
كذلك نجزي,12
الصلاة وآتوا الزكاة,12
وآتوا الزكاة,12
الصلاة وآتوا,12
هو إلا,12
يا أهل الكتاب,12
يؤمنون بالآخرة,12
قبلهم من,12
عليم بذات,12
يوم لا,12
ربك هو,12
وما لكم,12
الذي خلق السماوات,12
الذي خلق السماوات والأرض,12
لله الذي,12
إلى ربك,12
وهو على,12
والله لا يهدي القوم,12
وما لهم,12
عليهم من,12
والله لا يهدي,12
ولي ولا,12
كانوا يكسبون,12
وما أدراك ما,12
إن الله غفور رحيم,12
افترى على الله,12
وما أدراك,12
ومن الناس,12
يدعون من,12
إذا هم,12
من في السماوات,12
لا يظلمون,11
من الصالحين,11
والذين آمنوا وعملوا,11
والذين آمنوا وعملوا الصالحات,11
ومن آياته,11
فيها أبدا,11
رب السماوات والأرض,11
قالوا آمنا,11
ما لا تعلمون,11
خالدين فيها أبدا,11
بين أيديهم,11
مثل ما,11
إن شاء,11
الله لا يهدي,11
لا يؤمنون بالآخرة,11
الله لهم,11
ما كانوا به,11
تلك آيات,11
أن يكون,11
إن هو إلا,11
أن لن,11
إله واحد,11
ما في السماوات والأرض,11
وما أرسلنا,11
أرسلنا من,11
أسألكم عليه,11
وهم لا يظلمون,11
وما أنت,11
قلوبهم مرض,11
في البحر,11
من قرية,11
جنات عدن,11
ولو شاء الله,11
الله على كل شيء قدير,11
من الصادقين,11
الذي أنزل,11
وإن الله,11
لو كانوا,11
ومن يضلل,11
والله على كل,11
بالله ورسوله,11
لله ما في,11
نذير مبين,11
من الجن,11
الله يحب,11
والله على كل شيء,11
النار هم,11
أرأيتم إن,11
الذين آمنوا إذا,11
له ما في,11
آمنوا إذا,11
إلى أجل مسمى,11
من ولي,11
لعلكم تفلحون,11
له ما في السماوات,11
من خير,11
قد خلت,11
الذي جعل لكم,11
قل أرأيتم,11
يا أيها الذين آمنوا إذا,11
الله عليم,11
أيها الذين آمنوا إذا,11
ولكن أكثرهم لا,11
رب إني,11
في ما,11
ألم تر أن,11
ولكن أكثر الناس لا يعلمون,11
تدعون من,11
يشاء من عباده,11
الأرض وما,11
في الأرض وما,11
أكثر الناس لا يعلمون,11
الناس لا يعلمون,11
الله عليه,11
ويل يومئذ,11
ويل يومئذ للمكذبين,11
واعلموا أن الله,11
تر أن,11
إن هو,11
ذلك هو,11
فيه من,11
قوم نوح,11
لله ما في السماوات,11
وما أنا,11
بعد موتها,10
آمنوا إن,10
الأرض من,10
عليما حكيما,10
فأما الذين,10
بما كانوا يعملون,10
ذلك على الله,10
أوحينا إليك,10
عند ربك,10
أصحاب النار هم فيها خالدون,10
الذين آمنوا إن,10
في الصور,10
خلق الله,10
لا يسمعون,10
ما ملكت,10
قال موسى,10
وإن كان,10
لم يكن,10
عالم الغيب والشهادة,10
من النار,10
افترى على الله كذبا,10
مصدقا لما,10
عذاب شديد,10
إن الله يحب,10
الله شديد,10
الغيب والشهادة,10
لا يهدي القوم الظالمين,10
الآيات لقوم,10
يشاء الله,10
من عبادنا,10
وعد الله حق,10
في الأرض ولا,10
وهم لا يشعرون,10
يوم الدين,10
ريب فيه,10
لا ريب فيه,10
آمنوا بالله,10
الأرض بعد,10
أصحاب النار هم فيها,10
النار هم فيها خالدون,10
لا يعقلون,10
النار هم فيها,10
وما كنا,10
موسى الكتاب,10
أصحاب النار هم,10
يهدي القوم الظالمين,10
فإن تولوا,10
ومن الناس من,10
من أجر,10
واتقوا الله إن,10
الله لا يحب,10
فإذا جاء,10
يهدي من,10
قال لهم,10
إلى ما,10
أم لهم,10
على الناس,10
في الله,10
منكم من,10
إن كنت من,10
لهم ما,10
إن الذين آمنوا وعملوا الصالحات,10
في قلوبهم مرض,10
تر أن الله,10
هو السميع,10
لهم مغفرة,10
الله ما لكم,10
الله ما لكم من,10
كان الله,10
ذكر الله,10
الله من فضله,10
كان لكم,10
الله غفورا رحيما,10
إني لكم,10
قال إني,10
لكم من إله,10
الله غفورا,10
ألم تر أن الله,10
إن الله عليم,10
يبين الله,10
له ملك السماوات,10
فإذا هم,10
إن كنتم تعلمون,10
له ملك,10
الله سميع,10
إنه من,10
له ملك السماوات والأرض,10
ما كانوا به يستهزئون,10
على الكافرين,10
من آمن,10
ما ليس,10
فاتقوا الله وأطيعون,10
قل هو,10
الله وأطيعون,10
ولقد آتينا موسى,10
وما هم,10
وهو على كل شيء,10
الحمد لله الذي,10
إن الذين آمنوا وعملوا,10
وهو على كل,10
فما له من,10
فما له,10
هم الخاسرون,10
وعلى الله,10
ساء ما,10
فكيف كان,10
من الخاسرين,10
من ولي ولا,10
كانوا يفترون,10
أظلم ممن افترى على,9
خير لكم إن كنتم,9
أظلم ممن افترى,9
أمة واحدة,9
ممن افترى على,9
أظلم ممن افترى على الله,9
ممن افترى,9
الله الذين آمنوا,9
ممن افترى على الله,9
الله عزيز,9
الكتاب والحكمة,9
يبسط الرزق لمن,9
لهو العزيز,9
كذلك يبين الله,9
كذلك يبين,9
الرزق لمن يشاء,9
عليكم من,9
أساطير الأولين,9
ثمنا قليلا,9
وبئس المصير,9
كان على,9
الله فما,9
لنا من,9
الإنسان من,9
يبسط الرزق لمن يشاء,9
يريد الله,9
لو أن,9
من دون الله ما,9
من عمل,9
دون الله ما,9
والله أعلم,9
وهدى ورحمة,9
الرزق لمن,9
فما كان,9
بما يعملون,9
يضلل الله,9
وما هو,9
وإلى الله,9
بما قدمت,9
من الله شيئا,9
إن كنت من الصادقين,9
إلا أن قالوا,9
لا يرجون,9
أن قالوا,9
يوم عظيم,9
الفوز العظيم,9
إلا بالحق,9
الله بكل شيء,9
نار جهنم,9
بغافل عما,9
قليلا ما,9
من الله من,9
إلها آخر,9
واتقوا الله إن الله,9
الله إلها,9
رسلهم بالبينات,9
جناح عليكم,9
الذين كذبوا بآياتنا,9
الله بكل,9
بغير الحق,9
الله ذلك,9
خبير بما,9
الله فإن,9
اتقوا الله,9
أم يقولون,9
أوتوا العلم,9
فلا جناح,9
بين يدي,9
لما بين,9
فإذا هي,9
يبين الله لكم,9
قل إني,9
الجن والإنس,9
ويعلم ما,9
كان أكثرهم,9
وكان الله غفورا رحيما,9
ومن أظلم ممن,9
يبسط الرزق,9
به علم,9
قال لا,9
ومن أظلم,9
مع الله إلها آخر,9
فيه يختلفون,9
وعمل صالحا,9
في كل,9
خير لكم إن,9
قل هل,9
إن الله لا يحب,9
لكم فيها,9
عليهم آياتنا,9
لهم في,9
من بين,9
الله إلها آخر,9
وكان الله غفورا,9
مع الله إلها,9
كأن لم,9
اسم الله,9
بل هو,9
أنفسهم يظلمون,9
الله يعلم ما,9
كنت من الصادقين,9
فيها من كل,9
ولا في,9
وأنتم لا,9
له الدين,9
كان في,9
ذلك بأن,9
آتينا موسى الكتاب,9
من نطفة,9
فريق منهم,9
ما لكم من إله,9
قالوا ربنا,9
في الدين,9
خلت من,9
من إله غيره,9
اعبدوا الله ما لكم,9
تدعون من دون,9
القوم الكافرين,9
إن الله على كل شيء,9
إن أجري إلا على,9
إن الله على كل,9
إن الله على,9
لكم من إله غيره,9
اعبدوا الله ما,9
أجرا عظيما,9
له ما في السماوات وما,9
الله لا إله إلا,9
أول مرة,9
له ما في السماوات وما في,9
يا قوم اعبدوا الله,9
له ما في السماوات وما في الأرض,9
الله لا إله,9
وإليه ترجعون,9
بينة من,9
يحيي ويميت,9
ولكن أكثرهم لا يعلمون,9
إله غيره,9
الله ربكم,9
من دابة,9
أجري إلا على,9
قال إن,9
بعضهم على,9
بعضهم على بعض,9
اعبدوا الله ما لكم من إله غيره,9
الذين هم,9
الله ما لكم من إله غيره,9
الله من شيء,9
لهم جنات,9
من قومه,9
في هذه,9
يؤمنون بالله,9
من رب,9
اتخذوا من,9
ويا قوم,9
اعبدوا الله ما لكم من إله,9
فانظر كيف كان,9
أجري إلا,9
إن أجري إلا,9
اعبدوا الله ما لكم من,9
فانظر كيف,9
إن أجري,9
الله ما لكم من إله,9
الله الكذب,9
نجزي المحسنين,9
على الله الكذب,9
ما لكم من إله غيره,9
فانظر كيف كان عاقبة,9
قوم اعبدوا الله,9
تدعون من دون الله,9
الأرض جميعا,9
في الأرض جميعا,9
يا قوم اعبدوا,9
قوم اعبدوا,9
بما تعملون خبير,8
وإذا تتلى,8
الله ولكن,8
تعملون خبير,8
وابن السبيل,8
في جهنم,8
كن فيكون,8
قوم اعبدوا الله ما لكم,8
يعلم ما في,8
عن المنكر,8
ولكن كانوا,8
كل أمة,8
ويوم القيامة,8
يا قوم اعبدوا الله ما,8
إن وعد,8
إن وعد الله,8
قد خلت من,8
يقولون ربنا,8
الذين لا يؤمنون بالآخرة,8
والله على كل شيء قدير,8
هم في,8
الله وهو,8
ولا تكونوا,8
قال هذا,8
لعلهم يرجعون,8
يا أبت,8
ينظرون إلا,8
قوم اعبدوا الله ما,8
تتلى عليهم,8
من ذكر,8
الله ما لا تعلمون,8
إن وعد الله حق,8
جعل الله,8
عاقبة الذين,8
دون ذلك,8
ما يوحى,8
على العالمين,8
لآية وما,8
الله العزيز,8
لكم والله,8
جهنم وبئس,8
أكثرهم مؤمنين,8
سريع الحساب,8
يوحى إلي,8
من طين,8
والله ذو,8
الله فما له من,8
هذا الذي,8
خير من,8
كل نفس ما,8
بعد إذ,8
كان عاقبة الذين,8
بأن الله,8
شيء وهو,8
لولا أنزل,8
وهو خير,8
بها من,8
آيات بينات,8
يا قوم اعبدوا الله ما لكم,8
إن ربك هو,8
وأقيموا الصلاة,8
عذاب النار,8
إن في ذلك لآية وما كان أكثرهم مؤمنين,8
كتاب الله,8
إلا أن يشاء,8
أن يشاء,8
من أحد,8
كانوا يعلمون,8
هو الحق,8
الله رب,8
إن الله على كل شيء قدير,8
ذلكم الله,8
الذي خلقكم,8
في ذلك لآية وما كان أكثرهم مؤمنين,8
خسروا أنفسهم,8
عذاب يوم عظيم,8
لهم فيها,8
عما تعملون,8
وجعل لكم,8
لله رب العالمين,8
بل أكثرهم,8
بل أكثرهم لا,8
وإن من,8
وما الله,8
ربك لهو,8
أن يأتي,8
لقوم يعلمون,8
نعمت الله,8
لله رب,8
ويقولون متى,8
لو كانوا يعلمون,8
شيئا إن,8
أرسلنا من قبلك,8
هم الظالمون,8
ربك لهو العزيز الرحيم,8
كنتم به,8
عسى أن,8
كثيرا من,8
انظر كيف,8
لك من,8
كفروا إن,8
إن الله لا يهدي,8
إن الله هو,8
هدى الله,8
وإن ربك لهو العزيز الرحيم,8
فإن الله غفور رحيم,8
الله فما له,8
آتيناهم الكتاب,8
وإن ربك لهو العزيز,8
إلا بإذن الله,8
إلا بإذن,8
عن سبيله,8
القوم الفاسقين,8
من القوم,8
ومن يضلل الله,8
فإن الله غفور,8
من العذاب,8
العذاب بما,8
بل أنتم,8
لئن لم,8
لو كان,8
الله شديد العقاب,8
من دون الله ما لا,8
إن في ذلك لآية وما كان أكثرهم,8
والله سميع عليم,8
قوم اعبدوا الله ما لكم من إله غيره,8
يا قوم اعبدوا الله ما لكم من إله,8
والله سميع,8
ممن افترى على الله كذبا,8
من علم,8
قوم اعبدوا الله ما لكم من,8
أظلم ممن افترى على الله كذبا,8
من رسول,8
كذلك يبين الله لكم,8
وأقاموا الصلاة,8
قل أرأيتم إن,8
من يشاء من,8
سوء العذاب,8
قوم اعبدوا الله ما لكم من إله,8
إن في ذلك لآية وما,8
وما كان أكثرهم مؤمنين,8
الله لا إله إلا هو,8
على المؤمنين,8
خلقكم من,8
بعض الذي,8
وكذبوا بآياتنا,8
بما كانوا يكسبون,8
آمنا بالله,8
ذلك لآية وما كان أكثرهم مؤمنين,8
ما لهم,8
إن في ذلك لآية وما كان,8
إن ذلك,8
يا قوم اعبدوا الله ما لكم من إله غيره,8
عليك من,8
في ذلك لآية وما كان أكثرهم,8
أخاف عليكم,8
بما أنزل الله,8
إلا بشر,8
يا قوم اعبدوا الله ما لكم من,8
وعلى الله فليتوكل,8
ذلك لآية وما كان أكثرهم,8
لآية وما كان أكثرهم مؤمنين,8
دون الله من,8
من الحق,8
وما لكم من,8
كفروا وكذبوا,8
الله فليتوكل,8
ومن لم,8
دون الله ما لا,8
من دون الله من,8
في ذلك لآية وما كان,8
آمنوا اتقوا,8
من يشاء من عباده,8
عذاب مهين,8
لا يفقهون,8
لآية وما كان أكثرهم,8
فلما جاءهم,8
الذين آمنوا اتقوا,8
أعلم بمن,8
الذين اتقوا,8
وأما الذين,8
عليه من أجر,8
تكونن من,8
ما كنتم تعملون,8
قل ما,8
إليك من ربك,8
في شك,8
إنا أرسلنا,8
على شيء,8
ذلك لآية وما,8
ثم إذا,8
لهو العزيز الرحيم,8
لآية وما كان,8
الشمس والقمر,8
وما كنت,8
ذلك من,8
به الأرض,8
الأرض بعد موتها,8
وما كان أكثرهم,8
من في السماوات والأرض,8
على العرش,8
وإن ربك لهو,8
ما شاء,8
في ذلك لآية وما,8
كان أكثرهم مؤمنين,8
أن لا,8
ذلك لآية وما كان,8
ربك لهو العزيز,8
أين ما,8
آمنوا معه,8
سحر مبين,8
ولا تتبع,7
لكم عدو,7
قل لو,7
ولي ولا نصير,7
الذين خسروا أنفسهم,7
الله له,7
الله خير,7
لعلهم يتذكرون,7
عدو مبين,7
ولا نصير,7
الذين خسروا,7
إلى الأرض,7
فينبئكم بما كنتم,7
وقال موسى,7
إذا ما,7
من ولي ولا نصير,7
إلى قومه,7
وكذلك نجزي,7
القوم الذين,7
الله لعلكم,7
ستة أيام,7
بما عملوا,7
ما كانوا يفترون,7
لعلكم تعقلون,7
وما أنتم,7
هو السميع العليم,7
خبير بما تعملون,7
بغافل عما تعملون,7
فينبئكم بما,7
الغفور الرحيم,7
في أنفسهم,7
إلى موسى,7
من آية,7
يا أيها الذين آمنوا اتقوا الله,7
أيها الذين آمنوا اتقوا الله,7
ذلك لمن,7
الله عليما,7
خيرا لهم,7
الله بما تعملون,7
بما كسبت,7
الله واعلموا,7
لعلكم ترحمون,7
له كن,7
إلا إبليس,7
وهو على كل شيء قدير,7
ولقد آتينا موسى الكتاب,7
أرسلنا إلى,7
من هو,7
الله من بعد,7
بين ذلك,7
يسيروا في,7
وكان الله عليما,7
إنه عليم,7
ولو كره,7
كانوا فيه,7
آمنوا اتقوا الله,7
الذين آمنوا اتقوا الله,7
يا أيها الذين آمنوا اتقوا,7
لكم الآيات,7
لي من,7
كانوا لا,7
أن لهم,7
الله الذي خلق,7
يسيروا في الأرض,7
الله ربي,7
أيها الذين آمنوا إن,7
هو أعلم,7
الله لا يهدي القوم,7
كيف كان عاقبة الذين,7
أفلا تذكرون,7
فضلا من,7
أيها الذين آمنوا اتقوا,7
ولو أنهم,7
لا تخف,7
من العلم,7
لا تتخذوا,7
الذين في,7
الله إنه,7
الخلق ثم,7
في ستة أيام,7
في ستة,7
والشمس والقمر,7
الله أو,7
جنات النعيم,7
يا ليتني,7
إن أنتم,7
هذا يوم,7
من فضل,7
له كن فيكون,7
أهلكنا من,7
أسألكم عليه من أجر,7
الله إن كنتم,7
آيات الكتاب,7
لفي ضلال,7
تلك آيات الكتاب,7
والله عزيز,7
الله مثلا,7
فمنهم من,7
علم إن,7
إنه هو السميع,7
من أصحاب,7
ولئن سألتهم,7
بني آدم,7
إلا أن يشاء الله,7
أن يشاء الله,7
من الطيبات,7
الذين كفروا إن,7
أجر إن,7
ولو ترى,7
من ربي,7
عن ذكر,7
عباد الله,7
وضل عنهم ما كانوا,7
الله والذين,7
في الأرض بغير,7
إن الإنسان,7
الأرض بغير,7
من القول,7
عذابا شديدا,7
الأرض بغير الحق,7
وأنت خير,7
في الأرض بغير الحق,7
هذا إلا سحر,7
أولو الألباب,7
قبلهم قوم,7
إلا سحر,7
الصالحات لهم,7
وعملوا الصالحات لهم,7
موسى لقومه,7
الكتاب بالحق,7
ذلكم خير لكم,7
آمنوا وعملوا الصالحات لهم,7
ولكن لا,7
هي إلا,7
فليتوكل المؤمنون,7
قال الله,7
مخلصين له,7
ذلكم خير,7
وتعالى عما,7
حيث لا,7
من الجنة,7
الله العزيز الحكيم,7
بغير حساب,7
من حيث لا,7
من الظلمات إلى النور,7
من عندنا,7
لعلكم تشكرون,7
ولو ترى إذ,7
ترى إذ,7
البلاغ المبين,7
وضل عنهم ما,7
هذا ما,7
على من يشاء,7
ما في الأرض,7
قالوا لا,7
لقوم يعقلون,7
والأرض بالحق,7
السماوات والأرض بالحق,7
من أجر إن,7
الظلمات إلى,7
الله كثيرا,7
إن هؤلاء,7
واليتامى والمساكين,7
بين الناس,7
الظلمات إلى النور,7
يفعل ذلك,7
من ديارهم,7
لكم ما,7
ثم استوى,7
الأنهار خالدين فيها أبدا,7
من ماء,7
إلى النور,7
وما من,7
والذين آمنوا معه,7
وأما من,7
إن كان من,7
الذين أوتوا العلم,7
الله عما,7
يا أيها الذين آمنوا إن,7
الله فليتوكل المؤمنون,7
البر والبحر,7
من الظلمات,7
الله قالوا,7
وعلى الله فليتوكل المؤمنون,7
الله مع,7
يدعون من دونه,7
وضل عنهم,7
الذي له,7
من خلق,7
جهنم خالدين فيها,7
جهنم خالدين,7
عليك الكتاب,7
إذا جاء,7
ما بين,7
كفروا وكذبوا بآياتنا,7
على أنفسهم,7
لا يفلح,7
في آياتنا,7
لهم عذاب أليم,7
ذلك بأن الله,7
من الظلمات إلى,7
ملكت أيمانكم,7
ومن في,7
ومن في الأرض,7
وإذا تتلى عليهم آياتنا,7
أنزل من السماء,7
لقوم يتفكرون,7
تحتها الأنهار خالدين فيها أبدا,7
هو الفوز,7
مخلصين له الدين,7
فإن الله كان,7
الله عنهم,7
ما كسبت,7
الكتاب إلا,7
وإذا تتلى عليهم,7
أسألكم عليه من,7
الله قل,7
إلى حين,7
أنزل من السماء ماء,7
مصدقا لما بين,7
تتلى عليهم آياتنا,7
وما لهم من,7
خير لكم إن كنتم تعلمون,7
من ناصرين,7
قد جاءكم,7
